A/A;FILE NO;DATE;DAY ;VESSEL;PORT ;ETA;ETD;COMMENTS;;;
3;23302;1-Jan;Sunday;Viking Venus;Souda Bay;8:00;17:00;;;;
4;23303;2-Jan;Monday;Viking Sky;Piraeus;7:00;23:59;;;;
5;23304;3-Jan;Tuesday;Viking Sky;Piraeus ;0:00;23:59;T/A;;;
6;23305;4-Jan;Wednesday;Viking Sky;Piraeus ;0:00;18:00;;;;
1;23306;5-Jan;Thursday;Viking Sky;Heraklion;7:00;18:00;;;;
2;23307;6-Jan;Friday;Viking Sky;Rhodes, ;7:00;18:00;;;;
3;23308;14-Jan;Saturday;Viking Sky;Rhodes, ;7:00;18:00;;;;
4;23309;15-Jan;Sunday;Viking Sky;Heraklion;7:00;18:00;;;;
5;23310;16-Jan;Monday;Viking Sky;Piraeus ;7:00;23:59;;;;
6;23311;17-Jan;Tuesday;Viking Sky;Piraeus ;0:00;23:59;T/A;;;
7;23312;18-Jan;Wednesday;Viking Sky;Piraeus ;0:00;17:30;;;;
8;23313;20-Jan;Friday;Viking Sky;Souda Bay;8:00;17:00;;;;
9;23314;28-Jan;Saturday;Viking Sky;Heraklion;13:00;19:00;;;;
10;23315;4-Feb;Saturday;Viking Sky;Rhodes, ;8:00;16:00;;;;
11;23316;5-Feb;Sunday;Viking Sky;Nafplion ;10:00;19:00;FREE ENTRANCE;;;
12;23317;6-Feb;Monday;Viking Sky;Piraeus;7:00;23:59;;;;
13;23318;7-Feb;Tuesday;Viking Sky;Piraeus;0:00;23:59;T/A;;;
14;23319;8-Feb;Wednesday;Viking Sky;Piraeus ;0:00;17:00;;;;
15;23320;9-Feb;Thursday;Viking Sky;Volos;8:00;18:00;;;;
16;23321;10-Feb;Friday;Viking Sky;Thessaloniki;7:30;22:00;;;;
17;23322;13-Feb;Monday;Viking Sky;Rhodes;7:30;17:30;;;;
18;23323;14-Feb;Tuesday;Viking Sky;Santorini;7:30;17:30;;;;
19;23324;15-Feb;Wednesday;Viking Sky;Souda Bay;7:00;17:30;;;;
20;23325;16-Feb;Thursday;Viking Sky;Nafplion;7:30;17:30;;;;
21;23326;17-Feb;Friday;Viking Sky;Piraeus;3:00;23:59;T/A;;;
22;23327;18-Feb;Saturday;Viking Sky;Piraeus ;0:00;17:30;;;;
23;23328;20-Feb;Monday;Viking Sky;Souda Bay;8:00;17:00;;;;
24;23329;2-Mar;Thursday;World Odyssey;Piraeus ;8:00;23:59;;;;
